date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:46	322726/322726	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:46%20GMT	https://ppc5g.com/ppc-services.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/ppc-services.html	(from )
17:26:46	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64007e8c-34ea55f9e95b8a72;gz%22	https://ppc5g.com/robots.txt		(from )
17:26:46	6823/6823	---M--	200	added ('OK')	image/png	etag:%221aa7-652a8983-baf07e73602582da;;;%22	https://ppc5g.com/images/ppclogo.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/ppclogo.png	(from https://ppc5g.com/ppc-services.php)
17:26:47	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-652a8966-561d32d94fd56ac0;gz%22	https://ppc5g.com/css/font-awesome.min.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/font-awesome.min.css	(from https://ppc5g.com/ppc-services.php)
17:26:47	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/Users/Vishal/Desktop/pcc/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://ppc5g.com/ppc-services.php)
17:26:47	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	C:/Users/Vishal/Desktop/pcc/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://ppc5g.com/ppc-services.php)
17:26:48	17864/17864	---M-Z	200	added ('OK')	text/css	etag:%2245c8-652a8966-862a65a462badc89;gz%22	https://ppc5g.com/css/swiper-bundle.min.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/swiper-bundle.min.css	(from https://ppc5g.com/ppc-services.php)
17:26:48	3816/3816	---M-Z	200	added ('OK')	text/css	etag:%22ee8-652a8966-e3618990e18f34ec;gz%22	https://ppc5g.com/css/bootstrap-side-modals.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/bootstrap-side-modals.css	(from https://ppc5g.com/ppc-services.php)
17:26:48	48492/48492	---M-Z	200	added ('OK')	text/css	etag:%22bd6c-654e2540-c04313ec65ca9d9b;gz%22	https://ppc5g.com/css/style.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/style.css	(from https://ppc5g.com/ppc-services.php)
17:26:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2016%20Nov%202023%2011:56:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Vishal/Desktop/pcc/www.googletagmanager.com/gtm.85445.delayed	(from https://ppc5g.com/ppc-services.php)
17:26:49	365943/365943	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:50%20GMT	https://ppc5g.com/index.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/index.html	(from https://ppc5g.com/ppc-services.php)
17:26:49	188/188	---M--	200	added ('OK')	image/png	etag:%22bc-652a8983-28e494cb92f2b57f;;;%22	https://ppc5g.com/images/phone.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/phone.png	(from https://ppc5g.com/ppc-services.php)
17:26:50	498/498	---M--	200	added ('OK')	image/png	etag:%221f2-652a8985-710f43a7b01095da;;;%22	https://ppc5g.com/images/user.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/user.png	(from https://ppc5g.com/ppc-services.php)
17:26:50	709/709	---M--	200	added ('OK')	image/png	etag:%222c5-652a8980-e661a963660eed09;;;%22	https://ppc5g.com/images/email.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/email.png	(from https://ppc5g.com/ppc-services.php)
17:26:50	645/645	---M--	200	added ('OK')	image/png	etag:%22285-652a8982-18a2edf00d88bb26;;;%22	https://ppc5g.com/images/india-flag.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/india-flag.png	(from https://ppc5g.com/ppc-services.php)
17:26:51	763/763	---M--	200	added ('OK')	image/png	etag:%222fb-652a8982-a41a70d39f055ccb;;;%22	https://ppc5g.com/images/map.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/map.png	(from https://ppc5g.com/ppc-services.php)
17:26:51	89061/89061	---M--	200	added ('OK')	image/jpeg	etag:%2215be5-652a8984-26975bbf1c2a3a34;;;%22	https://ppc5g.com/images/topldgImg.jpg	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/topldgImg.jpg	(from https://ppc5g.com/ppc-services.php)
17:26:51	400/400	---M--	200	added ('OK')	image/png	etag:%22190-652a8980-94cc3e62ccf3164c;;;%22	https://ppc5g.com/images/enquiry.png	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/enquiry.png	(from https://ppc5g.com/ppc-services.php)
17:26:52	215988/215988	---M--	200	added ('OK')	image/webp	etag:%2234bb4-652a8980-26fabef16e5d3313;;;%22	https://ppc5g.com/images/display.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/display.webp	(from https://ppc5g.com/ppc-services.php)
17:26:53	201744/201744	---M--	200	added ('OK')	image/webp	etag:%2231410-652a8985-bf54535c97fb67c;;;%22	https://ppc5g.com/images/video.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/video.webp	(from https://ppc5g.com/ppc-services.php)
17:26:54	202972/202972	---M--	200	added ('OK')	image/webp	etag:%22318dc-652a8984-dc26aaa48ad81e53;;;%22	https://ppc5g.com/images/shopping.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/shopping.webp	(from https://ppc5g.com/ppc-services.php)
17:26:54	187022/187022	---M--	200	added ('OK')	image/webp	etag:%222da8e-652a8984-ee69e068be581076;;;%22	https://ppc5g.com/images/search.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/search.webp	(from https://ppc5g.com/ppc-services.php)
17:26:55	56951/56951	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:56%20GMT	https://ppc5g.com/landing-page.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/landing-page.html	(from https://ppc5g.com/ppc-services.php)
17:26:55	42218/42218	---M--	200	added ('OK')	image/webp	etag:%22a4ea-652a8984-2f37a570f5680efd;;;%22	https://ppc5g.com/images/seo.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/seo.webp	(from https://ppc5g.com/ppc-services.php)
17:26:55	360166/360166	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:56%20GMT	https://ppc5g.com/website-design.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/website-design.html	(from https://ppc5g.com/ppc-services.php)
17:26:55	202264/202264	---M--	200	added ('OK')	image/webp	etag:%2231618-652a897f-f9022a6cc2920df2;;;%22	https://ppc5g.com/images/app.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/app.webp	(from https://ppc5g.com/ppc-services.php)
17:26:55	11089/11089	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:56%20GMT	https://ppc5g.com/about-us.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/about-us.html	(from https://ppc5g.com/ppc-services.php)
17:26:56	17559/17559	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:56%20GMT	https://ppc5g.com/about-director.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/about-director.html	(from https://ppc5g.com/ppc-services.php)
17:26:56	11193/11193	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:57%20GMT	https://ppc5g.com/legal.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/legal.html	(from https://ppc5g.com/ppc-services.php)
17:26:56	21510/21510	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:57%20GMT	https://ppc5g.com/privacy-policy.php	C:/Users/Vishal/Desktop/pcc/ppc5g.com/privacy-policy.html	(from https://ppc5g.com/ppc-services.php)
17:26:56	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15851%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/Vishal/Desktop/pcc/cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://ppc5g.com/ppc-services.php)
17:26:57	18594/18594	---M-Z	200	added ('OK')	application/javascript	etag:W/%2248a2-jut79x6Kl4uCoaGYAV8U1z0upZI%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.9.2/dist/umd/popper.min.js	C:/Users/Vishal/Desktop/pcc/cdn.jsdelivr.net/npm/@popperjs/core@2.9.2/dist/umd/popper.min.js	(from https://ppc5g.com/ppc-services.php)
17:26:57	365943/365943	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Nov%202023%2011:56:58%20GMT	https://ppc5g.com/	C:/Users/Vishal/Desktop/pcc/ppc5g.com/index-2.html	(from https://ppc5g.com/ppc-services.php)
17:26:57	78743/78743	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213397-kBFpUnUH/55mLPZNjjYfNZMIlw0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	C:/Users/Vishal/Desktop/pcc/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	(from https://ppc5g.com/ppc-services.php)
17:26:58	253668/253668	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	C:/Users/Vishal/Desktop/pcc/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	(from https://ppc5g.com/ppc-services.php)
17:26:58	3345/3345	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d11-652a89a9-f4dff9a76ae19a5;gz%22	https://ppc5g.com/js/jquery.serialscrolling.js	C:/Users/Vishal/Desktop/pcc/ppc5g.com/js/jquery.serialscrolling.js	(from https://ppc5g.com/ppc-services.php)
17:26:58	135956/135956	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221314-652a89aa-482b11d158b9f8ad;gz%22	https://ppc5g.com/js/swiper-bundle.min.js	C:/Users/Vishal/Desktop/pcc/ppc5g.com/js/swiper-bundle.min.js	(from https://ppc5g.com/ppc-services.php)
17:26:58	1307/1307	---M-Z	200	added ('OK')	application/x-javascript	etag:%2251b-652a89a9-6565e5bf7d614a76;gz%22	https://ppc5g.com/js/jquery.ttpanel.js	C:/Users/Vishal/Desktop/pcc/ppc5g.com/js/jquery.ttpanel.js	(from https://ppc5g.com/ppc-services.php)
